時刻,種別,行先
23:17,各停,西高島平
23:23,各停,西高島平
23:27,急行,浦和美園
23:33,各停,浦和美園
23:41,各停,高島平
23:45,各停,鳩ヶ谷
23:58,各停,目黒
00:11,各停,目黒
00:24,各停,目黒
00:38,各停,奥沢
