時刻,種別,行先,二子新地・高津
17:26,各停①,溝の口〔東急線〕,二子新地・高津通過
17:33,各停①,溝の口〔東急線〕,二子新地・高津通過
17:39,各停①,溝の口〔東急線〕,二子新地・高津通過
17:44,各停①,溝の口〔東急線〕,二子新地・高津通過
17:51,各停①,溝の口〔東急線〕,二子新地・高津通過
17:58,各停①,溝の口〔東急線〕,二子新地・高津通過
18:05,各停①,溝の口〔東急線〕,二子新地・高津通過
18:10,各停①,溝の口〔東急線〕,二子新地・高津通過
18:14,各停①,溝の口〔東急線〕,二子新地・高津通過
18:21,各停①,溝の口〔東急線〕,二子新地・高津通過
18:26,各停①,溝の口〔東急線〕,二子新地・高津通過
18:33,各停①,溝の口〔東急線〕,二子新地・高津通過
18:39,各停①,溝の口〔東急線〕,二子新地・高津通過
18:44,各停①,溝の口〔東急線〕,二子新地・高津通過
18:51,各停①,溝の口〔東急線〕,二子新地・高津通過
18:58,各停①,溝の口〔東急線〕,二子新地・高津通過
19:05,各停①,溝の口〔東急線〕,二子新地・高津通過
19:10,各停①,溝の口〔東急線〕,二子新地・高津通過
19:14,各停①,溝の口〔東急線〕,二子新地・高津通過
19:21,各停①,溝の口〔東急線〕,二子新地・高津通過
19:26,各停①,溝の口〔東急線〕,二子新地・高津通過
19:33,各停①,溝の口〔東急線〕,二子新地・高津通過
19:39,各停①,溝の口〔東急線〕,二子新地・高津通過
19:44,各停①,溝の口〔東急線〕,二子新地・高津通過
19:51,各停①,溝の口〔東急線〕,二子新地・高津通過
19:57,各停①,溝の口〔東急線〕,二子新地・高津通過
20:05,各停①,溝の口〔東急線〕,二子新地・高津通過
20:12,各停②,鷺沼,二子新地・高津停車
20:17,各停①,溝の口〔東急線〕,二子新地・高津通過
20:24,各停①,溝の口〔東急線〕,二子新地・高津通過
20:32,各停①,溝の口〔東急線〕,二子新地・高津通過
20:37,各停②,鷺沼,二子新地・高津停車
20:43,各停①,溝の口〔東急線〕,二子新地・高津通過
20:49,各停①,溝の口〔東急線〕,二子新地・高津通過
20:56,各停①,溝の口〔東急線〕,二子新地・高津通過
21:04,各停①,溝の口〔東急線〕,二子新地・高津通過
21:10,各停②,鷺沼,二子新地・高津停車
21:16,各停①,溝の口〔東急線〕,二子新地・高津通過
21:23,各停①,溝の口〔東急線〕,二子新地・高津通過
21:32,各停①,溝の口〔東急線〕,二子新地・高津通過
21:37,各停①,溝の口〔東急線〕,二子新地・高津通過
21:45,各停①,溝の口〔東急線〕,二子新地・高津通過
21:52,各停①,溝の口〔東急線〕,二子新地・高津通過
21:59,各停②,鷺沼,二子新地・高津停車
22:06,各停①,溝の口〔東急線〕,二子新地・高津通過
22:13,各停①,溝の口〔東急線〕,二子新地・高津通過
22:20,各停①,溝の口〔東急線〕,二子新地・高津通過
22:27,各停①,溝の口〔東急線〕,二子新地・高津通過
22:35,各停①,溝の口〔東急線〕,二子新地・高津通過
22:43,各停①,溝の口〔東急線〕,二子新地・高津通過
22:52,各停②,鷺沼,二子新地・高津停車
22:59,各停①,溝の口〔東急線〕,二子新地・高津通過
23:08,各停①,溝の口〔東急線〕,二子新地・高津通過
23:17,各停①,溝の口〔東急線〕,二子新地・高津通過
23:25,各停②,鷺沼,二子新地・高津停車
23:33,各停①,溝の口〔東急線〕,二子新地・高津通過
23:43,各停①,溝の口〔東急線〕,二子新地・高津通過
23:51,各停②,鷺沼,二子新地・高津停車
00:03,各停①,溝の口〔東急線〕,二子新地・高津通過
00:13,各停②,鷺沼,二子新地・高津停車
00:28,各停①,溝の口〔東急線〕,二子新地・高津通過
00:40,各停①,二子玉川,二子新地・高津通過
