時刻,種別,行先
23:08,各停,石神井公
23:16,各停,渋谷
23:19,急行,渋谷
23:23,各停,渋谷
23:32,各停,和光市
23:34,急行,保谷
23:46,各停,自由が丘
23:50,各停,池袋
00:05,各停,新宿三丁
00:17,各停,渋谷
