時刻,種別,行先
20:12,各停,日吉（神奈川県）
20:16,急行,新横浜
20:18,各停,日吉（神奈川県）
20:23,各停,日吉（神奈川県）
20:27,各停,新横浜
20:31,急行,海老名
20:33,各停,武蔵小杉
20:38,各停,日吉（神奈川県）
20:43,各停,日吉（神奈川県）
20:47,急行,海老名
20:49,各停,新横浜
20:55,各停,新横浜
21:01,急行,海老名
21:03,各停,武蔵小杉
21:10,各停,日吉（神奈川県）
21:15,急行,新横浜
21:19,各停,日吉（神奈川県）
21:24,各停,海老名
21:29,急行,新横浜
21:32,各停,日吉（神奈川県）
21:40,各停,日吉（神奈川県）
21:46,急行,西谷
21:49,各停,新横浜
21:56,各停,日吉（神奈川県）
22:01,急行,海老名
22:06,各停,日吉（神奈川県）
22:11,各停,日吉（神奈川県）
22:17,急行,新横浜
22:21,各停,日吉（神奈川県）
22:28,各停,新横浜
22:33,急行,海老名
22:37,各停,西谷
22:43,各停,海老名
22:49,各停,日吉（神奈川県）
22:55,各停,海老名
23:01,各停,日吉（神奈川県）
23:07,各停,日吉（神奈川県）
23:11,急行,新横浜
23:15,各停,日吉（神奈川県）
23:22,各停,武蔵小杉
23:28,各停,海老名
23:37,各停,新横浜
23:45,急行,日吉（神奈川県）
23:48,各停,日吉（神奈川県）
23:56,各停,新横浜
00:04,各停,日吉（神奈川県）
00:14,各停,新横浜
00:20,各停,武蔵小杉
00:28,各停,日吉（神奈川県）
00:35,各停,武蔵小杉
